transaction_id,customer_id,transaction_time,transaction_amount,transaction_type,merchant_category,transaction_location,is_declined,is_fraud
b4de2ec0,CUST_0041,2024-01-01 00:02:00,2097.23,ATM,,Kano,0,0
458c242d,CUST_0077,2024-01-01 00:50:00,2088.17,Transfer,,Abuja,0,0
b56ef188,CUST_0005,2024-01-01 00:55:00,1427.17,ATM,,Abuja,0,0
ecfdcdae,CUST_0054,2024-01-01 00:56:00,2539.9,ATM,,Ibadan,0,0
47fcf1f1,CUST_0007,2024-01-01 01:00:00,25.71,Transfer,,Port Harcourt,0,0
871c4f71,CUST_0083,2024-01-01 01:19:00,919.51,Online,Restaurants,Port Harcourt,0,0
c207f8e4,CUST_0069,2024-01-01 01:51:00,1645.61,Transfer,,Abuja,0,0
51874bee,CUST_0015,2024-01-01 03:13:00,1091.94,ATM,,Abuja,0,0
70f49241,CUST_0035,2024-01-01 03:49:00,1062.27,POS,Restaurants,Abuja,0,0
af10fb82,CUST_0061,2024-01-01 04:04:00,881.64,POS,Restaurants,Port Harcourt,0,0
4ea95f90,CUST_0026,2024-01-01 04:47:00,1697.05,Online,Electronics,Abuja,0,0
5521e6c5,CUST_0005,2024-01-01 05:02:00,1443.95,Transfer,,Ibadan,0,0
b6132fa9,CUST_0051,2024-01-01 05:19:00,757.1,POS,Electronics,Ibadan,0,0
0d3640be,CUST_0042,2024-01-01 06:04:00,240.66,POS,Restaurants,Port Harcourt,0,0
24968803,CUST_0044,2024-01-01 06:26:00,161.28,POS,Electronics,Abuja,0,0
d8505637,CUST_0027,2024-01-01 06:30:00,1415.05,Online,Groceries,Abuja,0,0
c4bfb526,CUST_0097,2024-01-01 06:33:00,1446.39,Transfer,,Lagos,1,0
a01b986f,CUST_0019,2024-01-01 08:12:00,2381.5,Transfer,,Kano,0,0
6182d904,CUST_0027,2024-01-01 08:27:00,951.88,POS,Fashion,Lagos,0,0
6be6d6e7,CUST_0009,2024-01-01 08:46:00,384.31,Online,Utilities,Ibadan,0,0
b0acdd91,CUST_0045,2024-01-01 09:25:00,2442.71,Transfer,,Port Harcourt,0,0
6ed44d5e,CUST_0046,2024-01-01 11:00:00,128.74,ATM,,Lagos,0,0
28709908,CUST_0026,2024-01-01 11:31:00,2803.95,Transfer,,Abuja,0,0
8c91d644,CUST_0084,2024-01-01 11:33:00,2307.93,Transfer,,Ibadan,0,0
ee85245d,CUST_0022,2024-01-01 11:57:00,35.01,Online,Fashion,Abuja,0,0
e581a253,CUST_0037,2024-01-01 12:07:00,389.14,POS,Fashion,Abuja,0,0
ffacb42e,CUST_0003,2024-01-01 12:08:00,886.7,Online,Utilities,Abuja,0,0
99b94503,CUST_0043,2024-01-01 12:45:00,460.13,Online,Electronics,Port Harcourt,0,0
44c6c8da,CUST_0001,2024-01-01 12:49:00,519.87,POS,Groceries,Port Harcourt,0,0
ba17b807,CUST_0014,2024-01-01 13:01:00,1328.81,Online,Utilities,Lagos,0,0
e13ac615,CUST_0043,2024-01-01 14:00:00,1759.38,Transfer,,Lagos,0,0
1584576f,CUST_0001,2024-01-01 14:20:00,2897.24,Online,Electronics,Abuja,0,0
ffb3cf05,CUST_0065,2024-01-01 15:22:00,2942.91,ATM,,Ibadan,0,0
3f669017,CUST_0093,2024-01-01 15:47:00,1616.46,ATM,,Abuja,0,0
d3bea7b2,CUST_0098,2024-01-01 17:26:00,29.4,Transfer,,Kano,1,0
b9bced62,CUST_0005,2024-01-01 17:42:00,1677.65,POS,Utilities,Port Harcourt,0,0
3212b131,CUST_0064,2024-01-01 18:02:00,997.03,Transfer,,Lagos,0,0
056e295a,CUST_0021,2024-01-01 18:54:00,857.08,POS,Groceries,Ibadan,0,0
726767b8,CUST_0017,2024-01-01 19:00:00,1093.18,Online,Groceries,Abuja,0,0
81d91199,CUST_0026,2024-01-01 19:21:00,1673.01,ATM,,Ibadan,0,0
8d04eb65,CUST_0032,2024-01-01 19:28:00,91.05,POS,Fashion,Port Harcourt,0,0
1e177914,CUST_0017,2024-01-01 20:07:00,1373.38,POS,Fashion,Abuja,0,0
3919c09e,CUST_0035,2024-01-01 20:11:00,1008.37,ATM,,Ibadan,0,0
d1842efd,CUST_0062,2024-01-01 20:25:00,1509.18,POS,Restaurants,Lagos,0,0
18913c11,CUST_0010,2024-01-01 20:39:00,2388.58,Transfer,,Kano,0,0
04950a21,CUST_0042,2024-01-01 20:45:00,725.38,POS,Groceries,Port Harcourt,0,0
c9f243d1,CUST_0031,2024-01-01 21:09:00,1431.4,ATM,,Lagos,0,0
37cfb10a,CUST_0098,2024-01-01 21:27:00,2545.8,POS,Fashion,Ibadan,0,0
be0ed352,CUST_0017,2024-01-01 21:47:00,1778.31,ATM,,Lagos,0,0
d597d0f4,CUST_0079,2024-01-01 21:50:00,1308.37,ATM,,Abuja,0,0
e680cab4,CUST_0058,2024-01-01 22:59:00,671.16,Online,Fashion,Abuja,0,0
845a9e9f,CUST_0028,2024-01-02 00:22:00,2496.31,ATM,,Kano,0,0
f2684c4e,CUST_0065,2024-01-02 01:11:00,1815.6,POS,Fashion,Kano,0,0
a7b29f3c,CUST_0007,2024-01-02 01:24:00,2424.22,Online,Groceries,Abuja,1,0
85de7496,CUST_0027,2024-01-02 01:39:00,1085.78,ATM,,Kano,0,0
d7911853,CUST_0054,2024-01-02 02:54:00,444.41,Online,Electronics,Lagos,0,0
4222ccb3,CUST_0076,2024-01-02 03:09:00,1618.39,Transfer,,Ibadan,0,0
a75b5845,CUST_0031,2024-01-02 03:54:00,1375.89,Online,Electronics,Port Harcourt,0,0
33add8a8,CUST_0085,2024-01-02 04:14:00,527.65,POS,Groceries,Port Harcourt,0,0
3b01035c,CUST_0054,2024-01-02 04:21:00,777.93,POS,Utilities,Port Harcourt,0,0
f042da5a,CUST_0017,2024-01-02 04:28:00,2988.41,Transfer,,Port Harcourt,0,0
6aeaa091,CUST_0006,2024-01-02 05:19:00,1496.07,POS,Electronics,Port Harcourt,0,0
73cb006b,CUST_0098,2024-01-02 05:32:00,2394.72,Transfer,,Port Harcourt,0,0
