transaction_id,customer_id,transaction_time,transaction_amount,transaction_type,merchant_category,transaction_location,is_declined,is_fraud
405cafe4,CUST_0041,2024-01-01 00:02:00,2097.23,ATM,,Kano,0,0
6a67ee2c,CUST_0077,2024-01-01 00:50:00,2088.17,Transfer,,Abuja,0,0
23274950,CUST_0005,2024-01-01 00:55:00,1427.17,ATM,,Abuja,0,0
cd3cead3,CUST_0054,2024-01-01 00:56:00,2539.9,ATM,,Ibadan,0,0
c4adf37c,CUST_0007,2024-01-01 01:00:00,25.71,Transfer,,Port Harcourt,0,0
7e4b2e44,CUST_0083,2024-01-01 01:19:00,919.51,Online,Restaurants,Port Harcourt,0,0
3eb2ea00,CUST_0069,2024-01-01 01:51:00,1645.61,Transfer,,Abuja,0,0
153bd252,CUST_0015,2024-01-01 03:13:00,1091.94,ATM,,Abuja,0,0
019d2050,CUST_0035,2024-01-01 03:49:00,1062.27,POS,Restaurants,Abuja,0,0
5515ea7c,CUST_0061,2024-01-01 04:04:00,881.64,POS,Restaurants,Port Harcourt,0,0
45ef71e8,CUST_0026,2024-01-01 04:47:00,1697.05,Online,Electronics,Abuja,0,0
ce5bccfc,CUST_0005,2024-01-01 05:02:00,1443.95,Transfer,,Ibadan,0,0
da01a667,CUST_0051,2024-01-01 05:19:00,757.1,POS,Electronics,Ibadan,0,0
4e7077db,CUST_0042,2024-01-01 06:04:00,240.66,POS,Restaurants,Port Harcourt,0,0
48a3a919,CUST_0044,2024-01-01 06:26:00,161.28,POS,Electronics,Abuja,0,0
01f1f144,CUST_0027,2024-01-01 06:30:00,1415.05,Online,Groceries,Abuja,0,0
1347e705,CUST_0097,2024-01-01 06:33:00,1446.39,Transfer,,Lagos,1,0
ce9367bf,CUST_0019,2024-01-01 08:12:00,2381.5,Transfer,,Kano,0,0
8ab05a36,CUST_0027,2024-01-01 08:27:00,951.88,POS,Fashion,Lagos,0,0
7cf6b776,CUST_0009,2024-01-01 08:46:00,384.31,Online,Utilities,Ibadan,0,0
5847cef6,CUST_0045,2024-01-01 09:25:00,2442.71,Transfer,,Port Harcourt,0,0
a1ef7ebc,CUST_0046,2024-01-01 11:00:00,128.74,ATM,,Lagos,0,0
