iter	Passed	Remaining
0	6	1344
1	18	1835
2	29	1939
3	45	2227
4	62	2433
5	74	2393
6	97	2681
7	113	2719
8	123	2626
9	138	2629
10	151	2610
11	170	2674
12	195	2811
13	212	2819
14	228	2823
15	239	2753
16	252	2716
17	262	2655
18	270	2573
19	284	2558
20	295	2519
21	308	2497
22	316	2433
23	325	2389
24	341	2392
25	349	2340
26	362	2320
27	373	2293
28	381	2249
29	390	2214
30	399	2176
31	409	2150
32	417	2110
33	429	2098
34	441	2082
35	450	2053
36	460	2027
37	468	1998
38	479	1981
39	493	1975
40	498	1931
41	513	1931
42	548	2001
43	564	2000
44	577	1988
45	592	1983
46	609	1985
47	625	1980
48	639	1969
49	661	1984
50	676	1976
51	691	1967
52	696	1930
53	717	1940
54	733	1933
55	742	1909
56	754	1892
57	768	1882
58	781	1867
59	791	1845
60	803	1830
61	815	1814
62	828	1800
63	838	1781
64	852	1771
65	864	1754
66	874	1735
67	885	1718
68	895	1700
69	904	1680
70	916	1665
71	930	1654
72	936	1629
73	944	1607
74	950	1584
75	960	1567
76	969	1548
77	979	1532
78	990	1517
79	999	1499
80	1011	1486
81	1020	1469
82	1030	1452
83	1045	1443
84	1057	1430
85	1071	1420
86	1080	1403
87	1089	1386
88	1094	1365
89	1104	1349
90	1110	1330
91	1120	1315
92	1131	1301
93	1145	1291
94	1156	1277
95	1173	1271
96	1184	1257
97	1193	1242
98	1205	1229
99	1215	1215
100	1225	1201
101	1236	1188
102	1247	1174
103	1255	1158
104	1265	1144
105	1270	1126
106	1280	1112
107	1289	1098
108	1301	1086
109	1308	1070
110	1319	1057
111	1325	1041
112	1338	1030
113	1347	1016
114	1357	1003
115	1367	990
116	1377	977
117	1386	963
118	1398	951
119	1410	940
120	1419	926
121	1430	914
122	1441	902
123	1449	888
124	1459	875
125	1469	862
126	1480	851
127	1489	838
128	1496	823
129	1507	811
130	1518	799
131	1528	787
132	1541	776
133	1555	766
134	1562	752
135	1572	740
136	1580	726
137	1588	713
138	1597	701
139	1608	689
140	1618	677
141	1632	666
142	1645	655
143	1660	645
144	1677	636
145	1701	629
146	1711	617
147	1726	606
148	1745	597
149	1762	587
150	1774	575
151	1785	563
152	1794	551
153	1804	539
154	1815	527
155	1836	517
156	1849	506
157	1857	493
158	1871	482
159	1880	470
160	1890	457
161	1902	446
162	1915	434
163	1931	423
164	1945	412
165	1969	403
166	1998	394
167	2022	385
168	2096	384
169	2112	372
170	2122	359
171	2135	347
172	2150	335
173	2162	323
174	2174	310
175	2191	298
176	2203	286
177	2223	274
178	2242	263
179	2250	250
180	2280	239
181	2296	227
182	2307	214
183	2317	201
184	2328	188
185	2341	176
186	2350	163
187	2360	150
188	2371	138
189	2378	125
190	2390	112
191	2403	100
192	2414	87
193	2438	75
194	2457	63
195	2472	50
196	2487	37
197	2497	25
198	2521	12
199	2530	0
